unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Carl Gottlob Rohn,neu,Pfarrer zu Großeröbitz und dem Filialen Zimmerritz und Rodisgst,,,,,,,,,,,Carl,Gottlob,,,,Rohn,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Caspar Liebeskind,neu,Schulmeister zu Großeröbitz,,,,,,,,,,,Johann,Caspar,,,,Liebeskind,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Heinrich Winkler,neu,Pfarrer zu Gumperda und dem Filial Zwabitz,,,,,,,,,,,Georg,Heinrich,,,,Winkler,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christian August Beyer,neu,Schulmeister zu Gumperda ,,,,,,,,,,,Christian,August,,,,Beyer,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christian Gottlieb Avenarius,neu,Pfarrer zu Heiligen und dem Filial Dorndorf,,,,,,,,,,,Christian,Gottlieb,,,,Avenarius,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Gottfried Schmidt,neu,Schulmeister zu Heiligen ,,,,,,,,,,,Georg,Gottfried,,,,Schmidt,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christian Ernst Bergler,neu,Pfarrer zu Hummelshayn und dem Filial Schmölln,,,,,,,,,,,Christian,Ernst,,,,Bergler,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Gottfried Schmidt,neu,Schulmeister zu Hummelshayn ,,,,,,,,,,,Georg,Gottfried,,,,Schmidt,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christoph Friedrich Heinicke,neu,Pfarrer zu Jägersdorf und dem Filial Großpürschütz,,,,,,,,,,,Christoph,Friedrich,,,,Heinicke,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Wilhelm Gröschel,neu,Schulmeister zu Jägersdorf ,,,,,,,,,,,Johann,Wilhelm,,,,Gröschel,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Gottlieb Burger,neu,Pfarrer zu Leuchtenburg,,,,,,,,,,,Johann,Gottlieb,,,,Burger,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Christoph Herrmann,neu,Schulmeister zu Leuchtenburg,,,,,,,,,,,Johann,Christoph,,,,Herrmann,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christian Heinrich Bartholomai,neu,"Pfarrer zu Neusitz und dem Filial Schmieden, Kleinkochberg, Wintersdorf Rudolfstädtisch",,,,,,,,,,,Christian,Heinrich,,,,Bartholomai,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,August Moritz Reim,neu,Schulmeister zu Neusitz ,,,,,,,,,,,August,Moritz,,,,Reim,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Nicolau Martin,neu,Schulmeister zu Schmieden,,,,,,,,,,,Johann,Nicolaus,,,,Martin,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,M. Johann Elias Berlet,neu,Pfarrer zu Niedercroßen und dem Filial Freyenorla,,,,,,,,,Magister,,Johann,Elias,,,,Berlet,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,M. Friedrich Paul Wohlfahrt,neu,Pfarrer zu Filial Oberhasel und lKirchhasel im Rudolstädtischen,,,,,,,,,Magister,,Friedrich,Paul,,,,Wohlfahrt,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Heinrich Michael Schönheit,neu,Schulmeister zu Oberhasel ,,,,,,,,,,,Heinrich,Michael,,,,Schönheit,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Georg Dorle,neu,Pfarrer zu Rothenstein im Weimarischen und dem Filial Oecknitz,,,,,,,,,,,Johann,Georg,,,,Dorle,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Heinrich Senf,neu,Schulmeister zu Oecknitz,,,,,,,,,,,Georg,Heinrich,,,,Senf,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Christoph Kormann,neu,Pfarrer zu Pfarrkeßlar und dem Chursächsischem Filialen Dößnitz Wintersroda und demBlankenhaynischen Lotschen,,,,,,,,,,,Johann,Christoph,,,,Kormann,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Friedrich Rattermüller,neu,Schulmeister zu Pfarrkeßlar,,,,,,,,,,,Johann,Friedrich,,,,Rattermüller,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Vipprecht Christian Huß,neu,Pfarrer zu Reinstädt und dem Filial Geunitz,,,,,,,,,,,Vipprecht,Christian,,,,Huß,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Heinrich Föckel,neu,Schulmeister zu Reinstädt ,,,,,,,,,,,Georg,Heinrich,,,,Föckel,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,M. Johann Heinrich Jacobi,neu,Pfarrer zu Seitenroda und dem Filial Seitenbrück,,,,,,,,,Magister,,Johann,Heinrich,,,,Jacobi,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Gottfried Fischer,neu,Schulmeister zu Seitenroda ,,,,,,,,,,,Johann,Gottfried,,,,Fischer,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,M. Georg  Friedrich Geißler,neu,"Pfarrer zu Trockenborn und den Chursächsischen Filialen Lichtenau, Breitenhayn, Stroßnitz",,,,,,,,,Magister,,Georg,Friedrich,,,,Geißler,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,August Christian Ludwig Both,neu,Schulmeister zu Trockenborn ,,,,,,,,,,,August,Christian,Ludwig,,,Both,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,M. Georg  Friedrich Clostermann,neu,Pfarrer zu Uhlstädt und dem Filialen Weisen in Saalfeld und Partzschefeld,,,,,,,,,Magister,,Georg,Friedrich,,,,Clostermann,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Johann Christian Fröhlich,neu,Schulmeister zu Uhlstädt ,,,,,,,,,,,Johann,Christian,,,,Fröhlich,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Traugott Christian Staus,neu,Schulmeister in Weisen ,,,,,,,,,,,Traugott,Christian,,,,Staus,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Friedrich Schreiber,neu,Schulmeister in Weisen ,,,,,,,,,,,Friedrich,,,,,Schreiber,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Georg Christian Tienemann,neu,Pfarrer zu Unterbdnitzt und dem Filialen Oberbodnitz,,,,,,,,,,,Georg,Christian,,,,Tienemann,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Christian Gabler,neu,Schulmeister in Unterbdnitzt ,,,,,,,,,,,Christian,,,,,Gabler,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,August Christian Pflug,neu,Pfarrer zu Zeutzsch und dem Filialen Beutelsdorf,,,,,,,,,,,August,Christian,,,,Pflug,
Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Orlamünda,,,,,Nicolsus Adam Meisezahl,neu,Schulmeister in Zeutzsch ,,,,,,,,,,,Nicolsus,Adam,,,,Meisezahl,
"Herzogliche Säch, Alterburgisch Jägerey",,,,,Carl Hanniball von Schmerzing,neu,Ober-Landes-Jägermeister zu Hummrlshayn,,,,,,,,,,,Carl,Hannibal,,,,von Schmerzing,
"Herzogliche Säch, Alterburgisch Jägerey",,,,,Johann Adolph von Stutterheim,neu,Cammerherr,Land-Jägermeister zu Closter-Laußnitz,,,,,,,,,,Johann,Adolph,,,,von Stutterheim,
"Herzogliche Säch, Alterburgisch Jägerey",,,,,Hanß Friedrich von der Gabelenz,neu,Oberforstmeister zu Altenburg,,,,,,,,,,,Hanß,Friedrich,,,,von der Gabelenz,
Wildmeister,,,,,Jobst Heinrich ,neu,Jäger zu Meusebach,,,,,,,,,,,Jobst,,,,,Heinrich ,
Oberförster,,,,,Christian Wilhelm Hartung,neu,zu Niederleupten,,,,,,,,,,,Christian,Wilhelm,,,,Hartung,
Oberförster,,,,,Johann Günther Rothe,neu,zu Uhlstädt,,,,,,,,,,,Johann,Günther,,,,Rothe,
Oberförster,,,,,Johann Wolfgang Meißner,neu,zu Saasa,,,,,,,,,,,Johann,Wolfgang,,,,Meißner,
Oberförster,,,,,Johann Wilhelm Immisch,neu,zu Ronneburg,,,,,,,,,,,Johann,Wilhelm,,,,Immisch,
Oberförster,,,,,Johann Friedrich Hattstädt,neu,zu Fockendorf,,,,,,,,,,,Johann,Friedrich,,,,Hattstädt,
Oberförster,,,,,Johann Gottlob Treutsch,neu,zu Lehma,,,,,,,,,,,Johann,Gottlob,,,,Treutsch,
Oberförster,,,,,Heinrich  Anton Glauber,neu,zu Wintersdorf,,,,,,,,,,,Heinrich,Anton,,,,Glauber,
Oberförster,,,,,Johann Wilhelm Hesselbath,neu,auf dem Unterteil Leina,,,,,,,,,,,Johann,Wilhelm,,,,Hesselbath,
Oberförster,,,,,Johann Heinrich Meißner,neu,zu Unter-Bodnitz,,,,,,,,,,,Johann,Heinrich,,,,Meißner,
Oberförster,,,,,Franz Julius Bonde,neu,zu Möhrsdorf,,,,,,,,,,,Franz,Julius,,,,Bonde,
Oberförster,,,,,Johann Michael Jäger,neu,zu Quirla,,,,,,,,,,,Johann,Michael,,,,Jäger,
Oberförster,,,,,Johann Ernst Clauder,neu,zur Fröhligen-Wiederkunft,,,,,,,,,,,Johann,Ernst,,,,Clauder,
Oberförster,,,,,Johann Andreas Christiani,neu,zu St. Gangloff,,,,,,,,,,,Johann,Andreas,,,, Christiani,
Oberförster,,,,,Johann August Meißner,neu,zu Closter-Lausnitz,,,,,,,,,,,Johann,August,,,,Johann Meißner,
Forstbediente im Herzogtum Altenburg,Q506858,,Q507547,Veit Christian Kleinsteuber,Veit Christian Kleinsteuber,unverändert,zu Königshofen,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Johann August Friedrich Koch,Johann August Friedrich Koch,unverändert,zu Wilchwitz,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Johann Daniel Clauder,Johann Daniel Clauder,unverändert,zu Tautenhayn,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,Q507584,Johann Friedrich Böttger,Johann Friedrich Böttger,unverändert,Grenzschütz zu Camburg,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Johann Heinrich Backhusius,Johann Heinrich Backhusius,unverändert,Grenzschütz zu Garbisdorf,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,Q507866,Georg Christian Immisch,Georg Christian Immisch,unverändert,Jagt-Chirurgus,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Friedrich August Wend,Friedrich August Wend,unverändert,Zeugwärter zu Altenburg,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Johann Gottfried Lindner,Johann Gottfried Lindner,unverändert,Heegereuter zu Schmölla,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Friedrich Anton Kleinsteuber,Friedrich Anton Kleinsteuber,unverändert,Forstsubstitut zu Königshofen,,,,,,,,,,,,,,,,,
,Q506858,,,,Franz Bernhardi,neu,Grenzschütz zu Garbisdorf,,,,,,,,,,,Franz,,,,,Bernhardi,
Forstbediente im Herzogtum Altenburg,Q506858,,Q507619,Andreas Erler,Andreas Erler,unverändert,Zeugschneider,,,,,,,,,,,,,,,,,
Forstbediente im Herzogtum Altenburg,Q506858,,,Johann Christoph Lademann,Johann Christoph Lademann,unverändert,"Jagdschneider , ",Zeugschneider,,,,,,,,,,,,,,,,
Stiffts Probst,,,,Johann von Rotkirch und Trach,Johann von Rotkirch und Trach,unverändert,Wirklicher geheimer Rath,Canzler,,,,,,,,,,,,,,,,
Stiffts Pröbstin,,,,Henriette Elisabethe von Reidau,Henriette Elisabethe von Reidau,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,Q507230,Helena Sophia von Lestwitz,Helena Sophia von Lestwitz,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,Q507746,Charlotte Juliane von Reichwaldt,Charlotte Juliane von Reichwaldt,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,Q507736,Friederike Sophie von Marschall,Friederike Sophie von Marschall,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,,Louise Friederike Johanne von Risschwitz,Louise Friederike Johanne von Risschwitz,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,,Auguste Magdalene von Mersch,Auguste Magdalene von Mersch,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,,Traugott Louise von Beust,Traugott Louise von Beust,unverändert,,,,,,,,,,,,,,,,,,
Capitularinnen,,,,Sophie Louise Johanne Christiane von Reizenstein,Eleonore Auguste von Watzdorf,neu,,,,,,,,,,,,Eleonore,Auguste,,,,von Watzdorf,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Friderike Henriette von Eaydi,Friderike Henriette von Eaydi,andere Qualli,hat 8 Fräuleins unter ihrer Aufsicht als Vorgesetzte,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Jeanne Marie Puy,Jeanne Marie Puy,andere Qualli,hat 8 Fräuleins unter ihrer Aufsicht ,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Amalia Friederice von Pannewitz,Amalia Friederice von Pannewitz,unverändert,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Auguste Johanne Friderike von Bitzing,Auguste Johanne Friderike von Bitzing,unverändert,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Ernistine Beate Friderike von Gellhorn,Ernistine Beate Friderike von Gellhorn,unverändert,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Johanna Christiana Luise von Klengel,Johanna Christiana Luise von Klengel,unverändert,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,,Henriette Christiane Eleonore von Trützschler,neu,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,Henriette,Christiane,Eleonore,,,von Trützschler,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,,Doroteha Maria Carolina Amalie von Wechmar,neu,Dieses Fräulein befindet sich auf Koststelllen,,,,,,,,,,,Doroteha,Maria,Carolina,Amalie,,von Wechmar,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Friderike Erdmuthe von Saltze und Lichtenau,Friderike Erdmuthe von Saltze und Lichtenau,unverändert,Dieses Fräulein befindet sich auf Gersdorfischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Charlotte Luise von Einsiedel,Charlotte Luise von Einsiedel,unverändert,Dieses Fräulein befindet sich auf Gersdorfischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Christiane Friderike von Borck,Christiane Friderike von Borck,unverändert,Dieses Fräulein befindet sich auf Gersdorfischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Eleonore Friderike Auguste von Trützschler,Eleonore Friderike Auguste von Trützschler,unverändert,Dieses Fräulein befindet sich auf Gersdorfischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,Q506935,,,Luise Christiane von Etzdorf,Luise Christiane von Etzdorf,unverändert,Dieses Fräulein befindet sich auf der Herrschaftlichen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Friderike von Trebra,Friderike von Trebra,unverändert,Dieses Fräulein befindet sich auf der Friesischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Elisabeta Carolina von Wilowinska,Elisabeta Carolina von Wilowinska,unverändert,Dieses Fräulein befindet sich auf der Friesischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,,,Caroline Henriette von Einsiedel,neu,Dieses Fräulein befindet sich auf der Landschaftlichen Freystelle,,,,,,,,,,,Caroline,Henriette,,,,von Einsiedel,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Christiane Eleonore Amalie von Altenstein,Christiane Eleonore Amalie von Altenstein,unverändert,Dieses Fräulein befindet sich auf der Degenfeldischen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Carlotte Juliane von Czetteritz,Carlotte Juliane von Czetteritz,unverändert,Dieses Fräulein befindet sich auf der Schweinitzschen Patronatstelle,,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,Q507502,Johann Leonhard Kellner,Johann Leonhard Kellner,unverändert,H.S. ord. Hofadvocat,Stifts Syndicus,,,,,,,,,,,,,,,,
Kleine Fräuleins mit ihren Aufseherinnen,,,,Cristian Gottfried Mörlein,Cristian Gottfried Mörlein,unverändert,Stiftspfarer,,,,,,,,,,,,,,,,,
,,,,,Heinrich Gotthoöld Christian Thinemann,neu,zweiter Informator,,,,,,,,,,,Heinrich,Gotthold,Christian,,,Thinemann,
Kleine Fräuleins mit ihren Aufseherinnen,,,Q507703,Carl Friedrich Stöhr,Carl Friedrich Stöhr,unverändert,Stiftscantor,,,,,,,,,,,,,,,,,
Maitres,,,,Johann Ludwig Krebs,Johann Ludwig Krebs,unverändert,Singmeister,,,,,,,,,,,,,,,,,
Maitres,,,,Maitre de Maintien,Maitre de Maintien,unverändert,Francois la Clevalier,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,Q507060,Christiane Marie Fliegel,Christiane Marie Fliegel,unverändert,Cammermädgen bei der Frau Pröbstin,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,Q507950,Christiane Friederike Reichert,Christiane Friederike Reichert,unverändert,Cammermädgen bei der Fräuln von Reichwald Stube,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,Johanna Sophia Bachmann,Johanna Sophia Bachmann,unverändert,Cammermädgen bey der Fräulein von Metsch,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,,Henriette Marie Caroline Steimbrück,neu,Cammermädgen bey der Fräulein von Beust,,,,,,,,,,,Henriette,Marie,Caroline,,,Steimbrück,
Stifts-Bediente,Q506822,,,Christiane Elisabethe Herrmann,Christiane Elisabethe Herrmann,unverändert,Mädgen bey der Fräulein Egidy,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,Wilhelmine Sophie Bielinsky,Wilhelmine Sophie Bielinsky,unverändert,Mädgen bey der Mademoiseile Puy,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,Anne Christine Dietrich,Anne Christine Dietrich,unverändert,Ausgeberin,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,Q262503,Johann Christoph Lange,Johann Christoph Lange,unverändert,Laquay,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,Michael Franz,Michael Franz,unverändert,Kutscher,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,Maria Zips,Maria Zips,unverändert,Köchin,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,,,Johanna Dorothea Wolf,neu,Haus Magd,,,,,,,,,,,Johanna,Dorothea,,,,Wolf,
Stifts-Bediente,Q506822,,Q98139,Johann Christian Müller,Johann Christian Müller,unverändert,Thorwärter,,,,,,,,,,,,,,,,,
Stifts-Bediente,Q506822,,Q507339,Christine Müller,Christine Müller,unverändert,Waschfrau,,,,,,,,,,,,,,,,,
Herzogl.Säcjhsische gemeinschaftliche Hofgericht zu Jena,,,,,Carl Alexander von Kalb,neu,Herzogl. S. Weimarisch wirklicher Geh.Rath,Oberaufseher zu Jena,,,,,,,,Seine Exelenz,,Carl,Alexander,,,,von Kalb,
Assessores auf der Adel-Bank,,,,,August Fiedrich Carl von Ziegesar,neu,Herzogl. S. Cammerherr,Hofrat zu Gotha,,,,,,,,,,August,Fiedrich,Carl,,,von Ziegesar,
Assessores auf der Adel-Bank,,,Q98812,,Johann Carl August von Uttenhofen,neu,Herzogl. S. Meiningischer Regierungsrath,,,,,,,,,,,Johann,Carl,August,,,von Uttenhofen,
Assessores auf der Adel-Bank,,,Q99167,,Fiedrich Hildebrand von Einsiedel,neu,Herzogl. S. Weimarisch Cammerherr,,,,,,,,,,,Fiedrich,Hildebrand,,,,von Einsiedel,
Assessores auf der Adel-Bank,,,,,Fiedrich Carl Adam von Schwarzenfels,neu,Herzogl. S. Oberamtshauptmann zu Tonna,,,,,,,,,,,Fiedrich,Carl,Adam,,,von Schwarzenfels,
Assessores auf der gelehrten Bank,,,Q513383,,D. Johann August Hellfeld,neu,Herzogl. S. Weimarisch Regierungsrath,Herzogl. S. Gothaischer Hofrath,Professor jur. oed und des Schöppenstuhls und der JuristischenFacultät Ordinarius,,,,,,,Dr.,,Johann,August,,,,Hellfeld,
Assessores auf der gelehrten Bank,,,,,D. Carl Friedrich Walch,neu,Herzogl. S. Gothaischer Hofrath,Professor jur. ord. und des Schöppenstuhls Assessor,,,,,,,,Dr.,,Carl,Friedrich,,,,Walch,
Assessores auf der gelehrten Bank,,,,,D. Johann Ludwig Schmidt,neu,Herzogl. S. Meiningischer Hofrath,Professor jur. ord. und des Schöppenstuhls Assessor,,,,,,,,Dr.,,Johann,Ludwig,,,,Schmidt,
Assessores auf der gelehrten Bank,,,,,D. Just Christian Ludwig von Schellwitz,neu,Professor jur. ord. und des Schöppenstuhls Assessor,,,,,,,,,Dr.,,Just,Christian,Ludwig,,,von Schellwitz,
Assessores auf der gelehrten Bank,,,,,D. Gottlob Eusebius Oeltze,neu,Professor jur. ord. und des Schöppenstuhls Assessor,,,,,,,,,Dr.,,Gottlob,Eusebius,,,,Oeltze,
Advocati zu Recht,,,,,D. Wilhelm Ernst Sonnenschmidt,neu,,,,,,,,,,Dr.,,Wilhelm,Ernst,,,,Sonnenschmidt,
Advocati zu Recht,,,,,D. Johann Christoph Friedemann Hummel,neu,,,,,,,,,,Dr.,,Johann,Christoph,Friedemann,,,Hummel,
Advocati zu Recht,,,,,D. Christian Just  Wiedeburg,neu,,,,,,,,,,Dr.,,Christian,Just,,,,Wiedeburg,
Advocati zu Recht,,,,,D. Johann August Reichardt,neu,,,,,,,,,,Dr.,,Johann,August,,,,Reichardt,
Advocati zur Güte,,,,,D. Gottfried Justin Wilhelm Salzmann,neu,,,,,,,,,,Dr.,,Gottfried,Justin,Wilhelm,,,Salzmann,
Advocati zur Güte,,,Q192948,,D. Christian Wilhelm Mehlis,neu,,,,,,,,,,Dr.,,Christian,Wilhelm,,,,Mehlis,
Advocati zur Güte,,,,,D. Johann Bernhard Christoph Eichmann,neu,,,,,,,,,,Dr.,,Johann,Bernhard,Christoph,,,Eichmann,
Protonotaius,,,,,Georg Christian Rehm,neu,,,,,,,,,,,,Georg,Christian,,,,Rehm,
Protonotaius,,,,,Johann Gottfried Hofmann,neu,Substitut ,Actuarius,,,,,,,,,,Johann,Gottfried,,,,Hofmann,
Anwälde,,,,,Johann Conrad Selle,neu,,,,,,,,,,,,Johann,Conrad,,,,Selle,
Anwälde,,,,,Wolfgang Carl Rost,neu,,,,,,,,,,,,Wolfgang,Carl,,,,Rost,
Anwälde,,,,,Georg Philipp Slevoigt,neu,,,,,,,,,,,,Georg,Philipp,,,,Slevoigt,
Bothen,,,,,Johann Nicolaus Fischer sen.,neu,,,,,,,,,,,,Johann,Nicolaus,,,,Fischer sen.,
Bothen,,,,,Johann Christian Fischer jun.,neu,,,,,,,,,,,,Johann,Christian,,,,Fischer jun.,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Theologische Facultät,,,,,D. Friedrich Samuel Zickler,neu,Professor theologiä ordinarius,Herzogl. S. Weimarisch Kirchenrath,,,,,,,,Dr.,,Friedrich,Samuel,,,,Zickler,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Theologische Facultät,,,,,D. Ernst Jacob Danovius,neu,Professor theologiä ordinarius,Inspector der  Gotha und Altenburgischen Landes-Kinder,,,,,,,,Dr.,,Ernst,Jacob,,,,Danovius,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Theologische Facultät,,,,,Christian Friedrich Potz,neu,Herzogl. S. Weimarisch Consistorial-Rath,Professor theologiä ordinarius supernumer,,,,,,,,,,Christian,Friedrich,,,,Potz,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Theologische Facultät,,,,,Johann Jacob Grießbach,neu,Professor theologiä ordinarius,,,,,,,,,,,Johann,Johann,,,,Jacob Grießbach,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Juristen Facultät,,,,,D. Johann August Hellfeld,neu,Herzogl. S. Weimarischer Regierungs Hofrath,Gothaischer Hofrath,Professor ordin Luris Canonici,Hofgerichts Assessor,Ordinarius der Juristen-Facultät und des Schöppenstuhls ,,auch der gesamten Academie Sen.,,,Dr.,,Johann,Carl,,,,Hellfeld,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Juristen Facultät,,,,,D. Carl Friedrich Walch,neu,Herzogl. S. Gothaischer Hofrath,Professor ord. Cod .et. Nov. ,Assessor ordin des Hofgerichts,derr Juristen Facultät und des Schöppenstuhls,,,,,,Dr.,,August,Friedrich,,,,Walch,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Juristen Facultät,,,,,D. Johann Ludwig Schmidt,neu,Herzogl. S. Meiningischer Hofrath,Professor ord.,Pandectar des Hofgerichts derr Juristen Facultät und des Schöppenstuhls,,,,,,,Dr.,,Johann,Ludwig,,,,Schmidt,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Juristen Facultät,,,,,D. Just Christian Ludwig von Schellwitz,neu,Professor ordin Institutionumdes Hofgerichts uns des des Schöppenstuhls Assessor ord.,,,,,,,,,Dr.,,Just,Christian,Ludwig,,,von Schellwitz,
Herzogl.Säcjhsische gesamte Universität zu Jena.   Juristen Facultät,,,,,D. Johann August Reichardt,neu,Professor Iuris ordinarius supernumetarius des Schöppenstuhls Beysitzer,Universitäts-Syndicus und Archivarius,,,,,,,,Dr.,,Johann,August,,,,Reichardt,
