unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Ordinari,Q506803,,,,,,,,,,,,,,,,,,,
Ordinari,Q506803,,Q263150,Johann Carl Hecht,Johann Carl Hecht,unverändert,,,,,,,,,,,,,,
Ordinari,Q506803,,Q157196,Johann Friedrich Freytag,Johann Friedrich Freytag,unverändert,Rath,,,,,,,,,,,,,
Ordinari,Q506803,,Q192806,Carl Adolph Wachler,Carl Adolph Wachler,unverändert,Landschafts Synicus,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Johann Friedrich Glaser,Johann Friedrich Glaser,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Wilhelm Franz Heß,Wilhelm Franz Heß,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,,,weg,Kriegs-Commissar,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507039,Heinrich Ernst Friedrich Kühnhold,Heinrich Ernst Friedrich Kühnhold,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507040,Friedrich Christoph Gotthard John,Friedrich Christoph Gotthard John,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507041,Ludwig Ernst Wilhelm Hessen,Ludwig Ernst Wilhelm Hessen,unverändert,Rath,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507042,Johann Christian List,Johann Christian List,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Johann Heinrich Bertuch,Johann Heinrich Bertuch,unverändert,Ober Steuer Secreter,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Siegmar Friedrich Waitz,Siegmar Friedrich Waitz,unverändert,Geheimer Canzley Secret.,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507044,Johann Christian Hager,Johann Christian Hager,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507045,Johann Georg Burkardt,Johann Georg Burkardt,unverändert,,,,,,,,,,,,,,
